amount,hour,day,senderBalance,receiverBalance,averageAmount,todayTransactions,transactionsLastHour,newReceiver,nightTransaction
15796,14,3,77320,54886,6365,19,10,0,0
47192,20,4,60763,16023,8422,22,1,1,0
2434,20,1,54207,85305,12409,25,16,0,0
25659,9,4,3247,59150,289,3,4,0,0
41607,20,1,80538,87313,10727,25,13,1,0
43002,8,2,68648,23483,9770,8,14,0,0
14542,16,4,67621,69479,7655,2,5,1,0
13418,3,6,10192,45758,14837,26,11,1,1
37066,3,6,33106,11534,12843,14,7,0,1
23248,12,2,83298,9268,4987,26,12,0,0
38045,14,5,49484,40774,2668,24,0,1,0
2696,23,7,5758,87538,6836,8,2,0,0
12667,4,2,27354,64505,6284,28,6,0,1
30536,11,2,52756,89135,12890,23,4,0,0
19116,7,6,25038,70592,8210,14,2,0,0
17413,22,7,91482,206,5234,26,9,1,0
48703,6,1,54768,87939,1857,37,6,0,0
1679,10,5,34327,55820,13571,7,18,1,0
22300,1,2,64544,42557,11352,6,11,1,1
25940,10,2,76266,15707,5692,39,0,0,0
1307,19,5,55516,9474,7626,6,7,0,0
29321,4,1,98598,13545,13071,24,14,0,1
28022,23,1,54884,51005,13908,12,6,1,0
23939,16,5,86116,93264,798,2,1,1,0
46646,22,5,39123,7392,6628,19,1,0,0
38560,5,7,70967,52662,302,17,5,1,1
40773,19,2,66233,89045,2030,16,0,0,0
42108,5,5,92406,49811,2911,36,18,1,1
34755,18,4,3411,67270,1943,33,7,1,0
23079,17,1,2302,8155,8220,25,17,0,0
21919,9,3,17146,46843,6387,26,15,0,0
16372,16,2,32116,20932,3208,32,8,0,0
42643,15,3,4999,6295,6297,33,19,0,0
32712,3,6,53851,61267,8545,35,15,1,1
38361,2,1,68997,46975,5073,18,1,1,1
46761,3,1,38967,23328,4593,21,15,1,1
22400,7,7,86916,70271,11396,12,18,1,0
19831,21,6,80409,47333,3536,8,1,0,0
32353,14,1,95160,93179,8096,19,3,0,0
44081,16,4,19089,43484,1169,6,2,1,0
33829,23,5,97252,301,12568,31,2,1,0
191,20,7,50836,85314,8419,18,9,0,0
23094,2,6,37131,72991,4114,22,1,0,1
16539,9,2,45517,66320,11467,33,8,0,0
12534,15,7,55248,5801,2906,26,2,1,0
29593,23,5,89391,87545,3050,36,12,1,0
2369,7,6,70531,76429,9263,23,14,1,0
32098,1,7,99657,93848,3869,22,16,1,1
4778,5,7,95785,15338,2591,37,0,1,1
19509,11,4,87642,87235,4969,32,19,1,0
4143,2,7,73115,73523,6899,13,17,1,1
46186,18,1,74347,82750,14198,28,4,1,0
8309,22,7,89980,74740,1764,1,14,1,0
46176,21,1,46043,56556,13284,16,6,1,0
9663,4,6,60138,73666,3247,26,15,0,1
13285,21,1,93968,61389,9535,5,14,0,0
30446,19,5,95935,43919,10557,26,15,0,0
29223,3,1,57073,59101,4552,23,9,1,1
32581,3,2,40658,65417,7005,19,0,1,1
9541,12,4,28163,51991,8627,2,16,1,0
25472,19,4,72869,11938,2527,33,0,0,0
35507,10,5,98356,38304,13579,10,10,1,0
20765,12,4,38994,3373,12261,35,16,1,0
25352,9,2,77297,65953,8406,7,3,1,0
24053,17,5,11838,412,7643,36,3,1,0
38757,8,3,83542,85999,1671,18,16,0,0
34912,23,7,7857,32479,12424,12,16,0,0
5645,22,1,68950,21352,6017,17,16,1,0
41556,15,1,51017,66234,7286,36,11,0,0
7401,18,4,70396,35270,10111,14,19,0,0
5487,15,5,89612,97203,11230,21,3,0,0
1168,6,5,90280,21545,5405,39,13,0,0
37498,4,3,38602,74460,4430,11,17,0,1
6732,8,2,83373,72592,11616,38,6,1,0
46733,7,2,63356,93105,7038,2,4,0,0
26963,7,5,26932,83285,8791,17,6,0,0
1325,3,4,36409,89339,3586,19,11,1,1
26791,9,2,94214,94246,11814,13,17,1,0
3710,19,4,58299,13116,9186,39,0,0,0
42957,16,1,34091,82848,5129,6,11,0,0
22701,14,5,21059,93045,11576,11,4,1,0
25827,18,4,72226,17640,3476,14,14,0,0
42357,21,6,69366,19087,8762,11,11,1,0
10976,15,6,24459,66203,4568,8,3,1,0
36488,17,4,27855,4835,3875,27,16,0,0
13217,20,4,36047,97007,1024,13,13,0,0
45446,17,3,49907,70340,1938,25,1,1,0
19256,17,3,95584,37892,1115,33,0,1,0
8416,14,1,62792,23833,4258,25,16,0,0
20385,1,1,9202,384,504,6,16,0,1
32607,4,6,81142,50612,7290,37,4,1,1
32202,18,1,56897,38765,2148,13,3,1,0
4545,16,2,36687,7239,9866,26,1,1,0
43126,2,3,32549,37131,10276,5,16,1,1
19199,14,7,44738,1252,7096,14,1,0,0
15782,1,6,55893,73553,7041,15,18,0,1
10210,19,1,53913,56800,9650,30,9,0,0
43089,4,5,40311,55479,3572,10,16,1,1
36933,1,6,14888,5569,4400,11,18,0,1
17145,22,7,81219,71774,6190,16,7,1,0
45416,3,1,84307,33434,4288,32,17,0,1
11315,18,5,87544,87505,12991,22,5,0,0
39145,11,2,93729,51745,10260,14,12,0,0
23625,14,1,43721,10478,13467,30,10,0,0
4433,3,1,59899,79714,1376,15,14,0,1
56,21,6,29199,73686,2225,24,1,0,0
39578,13,3,5626,5122,1746,23,13,0,0
38639,12,2,89369,34674,3186,25,4,1,0
25290,6,1,50948,95462,6329,26,11,0,0
39057,12,4,6668,7561,8358,18,14,1,0
26070,1,7,73979,77735,6991,19,9,0,1
19124,1,3,76203,76090,976,6,4,0,1
27286,20,6,2105,71158,6867,4,10,1,0
10590,23,7,13546,24818,2690,37,3,1,0
38111,5,2,41927,79579,12462,4,14,1,1
118,16,6,84971,13234,5660,2,14,0,0
13704,18,5,98079,6469,13821,4,18,1,0
49377,19,1,68084,78477,12707,38,4,1,0
20619,3,5,47862,20128,9193,10,4,0,1
9866,11,2,5787,34387,8612,37,8,0,0
27535,23,6,27114,36258,11969,31,16,0,0
31038,11,2,67944,8567,3630,9,1,1,0
8163,2,1,5915,36159,11257,29,7,0,1
41833,4,6,31023,88861,9606,21,4,0,1
19283,13,2,21111,16984,14160,25,17,1,0
9511,7,6,40211,11954,7904,38,0,0,0
37439,14,1,19596,67728,1348,2,13,0,0
36456,7,3,11802,67506,8489,6,2,0,0
17587,7,2,87987,56819,5842,29,0,1,0
25054,6,3,99223,51356,10889,33,4,0,0
17335,0,6,68279,19029,10149,10,4,0,1
43873,21,6,55680,23710,13202,36,12,1,0
40632,14,5,20603,64772,11520,4,11,0,0
20610,18,3,76183,99097,10126,27,4,1,0
12299,9,6,13499,55318,914,26,13,0,0
2444,12,6,17868,15328,7890,12,11,1,0
15344,3,5,60779,53028,6059,28,8,1,1
20531,13,1,4297,47882,13818,1,13,0,0
36245,13,4,19756,53173,4762,15,14,0,0
9525,8,2,39724,97945,13324,35,19,0,0
34394,10,6,9077,8070,11573,27,1,0,0
36369,10,3,71007,79026,1305,24,6,1,0
45766,20,1,37648,94270,13390,22,17,0,0
27697,6,1,46663,19816,788,20,7,0,0
20807,0,5,42449,92374,2582,19,16,0,1
42461,15,3,18949,33536,5590,2,16,1,0
11486,5,3,65655,55168,3435,29,6,0,1
13088,9,2,76129,52603,12356,23,17,0,0
15709,7,1,77034,55106,14395,23,7,1,0
31481,14,5,72758,39986,7876,28,14,1,0
7971,23,6,75539,60535,2638,16,3,1,0
