amount,hour,day,senderBalance,receiverBalance,distance,deviceChanged,transactionsLastHour
870,14,3,124879,77820,74,0,5
3181,7,3,72221,65820,1,0,6
2443,20,1,189779,86305,21,0,1
484,9,4,7747,60150,61,0,6
4668,11,7,71803,32551,2,0,7
2898,6,2,146699,9792,59,0,2
2834,20,2,129243,24483,70,0,7
44,13,1,24457,67557,5,0,4
1510,17,2,42065,93093,13,0,7
4561,13,7,96387,2016,61,0,5
347,14,5,91807,13185,59,0,1
2072,12,1,53984,41774,8,0,4
2705,23,7,141330,88538,7,0,1
4484,4,2,31854,65505,40,0,1
4885,1,1,94135,36222,61,0,3
2741,7,6,29538,71592,46,0,1
1038,22,7,115989,91982,26,0,7
1494,18,7,55015,55268,3,0,7
1688,10,5,169899,56820,31,0,3
3167,1,2,69044,43557,56,0,4
3637,19,6,179013,22834,61,0,1
1316,19,5,60016,10474,69,0,1
4423,4,1,18545,67199,78,0,1
3773,16,6,182648,40353,51,0,7
3467,2,1,72172,86616,55,0,1
4107,1,4,117181,1854,0,0,2
1717,5,7,75467,53662,74,0,1
776,5,5,188155,66733,10,0,1
3282,5,5,96906,50811,58,0,2
1996,18,4,138983,68270,51,0,7
2395,7,1,137874,9155,56,0,7
4071,9,3,152718,47843,15,0,1
3653,16,2,167688,21932,36,0,7
2066,8,3,178714,16151,79,0,6
3201,0,4,148946,33711,35,0,4
263,2,6,43360,83018,24,0,6
4443,1,6,197207,51108,40,0,4
4503,20,4,63871,23399,7,0,1
4745,0,4,112450,41818,21,0,6
3446,18,6,141967,20738,26,0,6
969,0,5,98179,41764,47,0,3
3130,16,4,129123,19589,45,0,3
1070,23,5,101752,1301,52,0,4
1149,20,7,186408,86314,17,0,7
579,2,6,41631,73991,46,1,2
164,9,2,181089,67320,32,0,6
2816,2,2,34592,11647,12,0,7
4141,12,4,7368,78575,15,0,3
1176,1,2,147038,94848,57,0,5
1725,9,6,189078,96285,59,0,5
3061,11,5,92235,55021,46,0,4
4374,17,4,88613,92794,16,0,3
3685,22,2,95852,33217,61,0,1
1941,20,1,71617,95841,0,0,6
569,7,5,119548,4343,60,0,7
590,21,5,195710,74666,75,0,3
2754,13,4,190412,45078,61,0,4
2969,15,5,99758,92747,32,0,5
2080,9,6,103116,98379,33,0,2
3740,0,5,21364,5611,15,0,7
4602,19,4,16938,36195,32,0,3
3508,4,4,43304,70449,42,0,5
4117,13,2,102532,93658,34,0,2
785,9,2,70953,58458,6,0,5
1526,10,5,12543,34496,20,1,4
3475,4,1,171807,48295,48,0,4
2153,23,7,143429,33479,36,0,7
2336,2,1,191141,15397,12,0,1
405,8,3,173011,70896,70,1,7
4956,14,5,131020,90112,51,0,4
3646,22,1,6062,85076,52,0,7
3304,4,3,43102,75460,74,0,4
963,11,1,180333,2542,45,0,2
3003,1,5,93092,55693,7,0,1
1375,19,1,193926,41262,44,0,6
3496,18,5,31790,26289,18,0,3
4278,12,2,145507,4709,57,0,5
904,8,7,57224,40298,76,0,1
1224,16,1,38591,83848,37,0,2
3637,12,5,39620,21559,74,0,4
1260,18,4,119065,72726,48,0,7
3594,20,6,111357,69866,15,0,3
1363,15,6,130899,24959,27,0,2
4195,7,2,110787,32921,27,0,1
4845,21,7,110616,39088,32,0,5
2789,15,5,32532,35349,34,0,2
265,4,7,134473,66545,55,0,3
4982,4,7,6015,62813,64,0,7
4958,21,3,77474,87704,76,0,1
520,0,5,177015,48926,5,0,5
1678,5,3,55612,24574,52,0,2
4188,16,5,192469,39765,0,1,5
4554,16,2,41187,8239,38,0,2
4543,21,3,99074,33049,11,0,4
398,16,7,155830,16254,78,0,6
4683,10,3,64494,82317,63,0,6
1339,1,2,143013,26934,50,0,4
4354,5,1,102239,43318,29,0,3
2138,4,5,175883,56479,16,0,4
3041,4,2,78477,15388,65,0,3
4148,15,3,142326,18144,22,0,7
3455,15,4,130827,42240,66,0,3
4198,17,5,126465,12314,18,0,2
4709,9,5,28061,80252,69,0,1
533,13,2,113464,92865,44,0,2
2306,14,1,179293,11478,55,0,7
4153,16,2,69291,80104,7,0,5
2776,14,7,136127,9717,27,0,2
374,13,3,141198,6122,22,0,7
1541,12,2,110977,89869,14,0,7
4590,9,7,55448,96462,43,0,5
3293,3,2,87152,27734,33,0,1
2482,4,6,190625,49447,58,0,5
3822,0,5,163357,93436,69,0,4
3431,10,6,81125,14918,23,0,7
252,7,5,81323,10111,5,0,4
4180,3,7,136189,85471,50,0,2
856,10,2,51514,89236,43,0,2
1151,3,3,194139,50376,19,0,7
2058,13,6,6828,2917,10,0,5
2036,2,1,128781,60383,9,0,2
2229,1,5,10287,35387,64,0,1
2842,8,3,98070,80767,37,0,6
1128,16,5,17219,1235,49,0,3
2645,2,3,141487,37159,21,0,5
3860,8,5,126101,31523,29,0,5
2908,13,2,130501,21611,41,0,7
4721,13,3,78340,73101,22,0,1
2722,16,1,16246,46558,65,0,3
3120,18,6,59917,93738,6,0,2
2045,6,3,103723,52356,37,0,5
960,0,6,72779,20029,65,0,3
1875,0,6,130733,56180,30,0,5
3238,7,5,131108,15382,67,0,2
104,18,3,80683,72315,10,1,6
3215,7,7,136886,77077,11,0,6
3291,0,7,96751,28306,75,0,4
2945,4,7,57329,28632,30,0,6
4156,13,1,139869,48882,22,0,5
3486,13,4,129085,20256,0,0,7
2718,14,1,62545,40224,25,0,7
546,10,6,144649,9070,33,0,3
964,11,3,72526,71835,69,0,1
4390,10,6,24097,11395,48,0,4
3442,16,4,57853,25917,62,1,1
